GeneID	GSM5239695	GSM5239696	GSM5239697	GSM5239698	GSM5239699	GSM5239700	GSM5239701	GSM5239702
83786	26.09	12.63	10.18	11.87	5.176	5.618	10.34	10.38
107984338	36.38	56.02	18.49	20.74	11.81	16.62	14.12	19.64
283131	345.4	484.9	152.1	165.2	38.09	51.43	31.14	156.8
693197	374.5	408.4	338.3	294.4	78.61	185.3	103.9	134.9
101927789	0.9977	0.83	0.3852	0.554	0.3492	0.3463	0.2133	0.4354
105369346	0.05883	0.2284	0	0	0	0	0.04401	0
378938	971.4	2424	1650	2196	527.3	640.2	804.2	1617
109136579	1043	2595	1773	2360	563.4	683.7	855.6	1734
109136578	32.64	56.32	73.53	63.45	17.77	17.63	16.28	83.1
57410	32.07	24.96	12.78	15.14	7.785	10.43	17.49	16.98
4054	15.44	6.148	6.26	5.309	1.892	3.054	4.324	7.981
254100	5.462	2.052	1.905	2.397	3.13	3.318	2.505	4.575
10534	20.32	6.961	9.046	5.576	4.832	6.826	6.081	3.286
23625	43.71	8.096	6.087	4.215	7.562	6.284	10.98	8.918
254102	100.1	78.87	51.08	57.27	16.81	29.41	40.39	39.23
10089	3.795	2.357	1.026	0.885	0.3719	0.7377	1.136	0.6955
4296	51.2	27.26	16.69	13.99	5.915	7.359	12.21	12.16
399909	13.77	10.48	4.021	6.992	1.836	1.961	4.02	6.058
100616292	3.506	0	0	0	0	0	2.623	0
6494	77.04	25.62	21.03	43.9	8.085	11.34	20.43	18.44
100616284	10.18	13.17	4.586	19.78	0	0	10.15	15.55
