GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
23601	0	0	0	0	0.06187	0	0.01542	0.00327	0.04216	0.01201	0.03494	0	0.008307	0
5726	0	0	0	0	0.009576	0	0.2625	0	0	0	0	0.03853	0	0
8972	0	0.00144	0.002074	0	0.0345	0.001767	0.01146	0.0158	0.04701	0.02009	0.04796	0.02776	0.01441	0.007766
93432	0.01255	0	0	0	0.01734	0	0.821	0.6952	0.09766	0.05609	0.06829	0.004651	0.005173	0.03122
100289017	0	0	0	0	0.05097	0	0	0	0	0.007067	0.04429	0	0	0.01229
136541	0	0	0	0	0.01199	0	0	0	0	0	0.0625	0	0	0
207147	0	0	0.004808	0	0.005331	0	0	0.06199	0.02906	0.005174	0.03242	0.01072	0	0.018
28621	9.011	8.355	4.565	8.059	17.16	9.494	0	0	0	0	0	0	0	0
28620	14.9	6.517	2.703	20.18	11.8	7.754	0	0	0	0.06122	0	0.2538	0.02823	0
105375539	2.713	1.011	0.3357	2.403	1.124	0.6605	0.004638	0.005902	0.01015	0.005419	0.01779	0.01498	0.001666	0
28619	0	0	0	0.7314	0.2227	0	0	0	0	0.03088	0	0	0	0
28617	0.3455	0.03984	0.08609	0	0.2227	0	0	0	0	0.06176	0.02764	0.128	0	0.2686
28614	0.08662	0.03996	0.02878	2.812	0.03191	0.04903	0	0.1012	0	0.09291	0	0	0	0
28606	0	0	0.0287	0	0.06363	0	0	0.03363	0	0	0.02764	0.06401	0	0
28597	0	0.0395	0	0	0.06308	0	0	0	0	0	0	0.1269	0	0
28616	0.4318	0.07968	0.1148	0	0.09545	0.1955	0	0.03363	0	0.03088	0	0	0	0
28604	0	0.07968	0.5452	0	0.1273	0.09777	0.1586	0	0	0	0	0	0.08544	0.1074
28596	0.4281	0.553	0.6543	0.8459	0.7255	0.8723	0.393	0.5001	0.6878	0.4592	0.4385	0.5711	0.2259	1.118
28588	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28613	0	0	0	0	0.06593	0	0	0	0	0	0	0	0	0
28603	0.2591	0.07968	0	0	0.4136	0	0	0	0	0	0	0	0.05696	0
28595	0.4281	0.5925	0.2845	0	0.2839	0.4362	0.4716	0.03334	0	0.1531	0	0.06345	0.1412	0.05325
28587	2.285	0.1265	0.1215	0	0.1684	0.1035	0	0	0.09179	0.03268	0.1463	0.1355	0.06029	0.2843
28612	0	0.2397	0.1439	0	0.03191	0	0	0.06746	0	0.03097	0	0	0.02856	0
28586	0.4331	0.07992	0.3454	0	0.3191	0.2451	0	0	0	0	0	0.06419	0.05712	0.2155
28585	0.3455	0	0	0	0	0	0	0	0	0	0.05529	0	0	0
