GeneID	GSM2202553	GSM2202554	GSM2202555	GSM2202556	GSM2202557	GSM2202558	GSM2202559	GSM2202560	GSM2202561	GSM2202562	GSM2202563	GSM2202564	GSM2202565	GSM2202566	GSM2202567	GSM2202568	GSM2202569	GSM2202570	GSM2202571	GSM2202572	GSM2202573
55684	25.02	25.13	34.99	34.35	33.73	32.14	29.47	35.16	22.23	29.96	32.97	51.96	50.24	57.05	55.23	53.46	43.28	41.37	50.52	44.39	56.34
100422860	15.06	16.05	20.8	16.44	26.15	6.439	25.18	24.26	33.04	11.9	24.06	33.5	37.03	19.3	40.16	46.4	20.29	27.49	33.97	18.81	34.08
389813	0.4955	1.177	0.8747	0.1907	0.756	0.5687	0.9817	0.371	0.2316	0.1112	1.399	2.088	1.246	2.093	1.482	0.9614	1.404	0.6379	2.184	1.065	1.932
29085	36.97	34.38	35.09	44.21	43.32	36.15	30.39	32.02	26.19	38.38	26.86	31.79	33.89	41.4	31.24	30.68	34.4	27.08	32.64	34.84	34.24
158056	1.399	3.05	4.038	5.159	3.676	4.372	3.678	1.739	2.134	3.14	5.499	6.685	5.199	8.357	4.8	6.868	4.369	4.572	5.6	4.425	5.313
8721	331.2	324.1	351.5	344.6	330.2	341	329.8	367.5	308.1	318	316.3	279.8	286.4	313	307.4	270.9	291.8	316.7	300	254	296.9
7186	7.284	8.687	11.7	9.678	12.17	10.29	9.523	10.3	5.26	7.466	9.664	16.51	12.12	17.28	15.18	16.55	11.38	10.43	15.43	11.26	12.15
105376326	0	0	0	0	0	0.6788	0	0.6027	0	0.7742	0	0.1401	0.8674	0.5949	0.6213	0.3996	0.198	0.3331	0.1137	0.5085	0.5207
100616480	0	0	0	0	4.935	0	0	0	0	0	2.671	2.258	0.9983	2.876	2.145	3.22	1.595	3.578	0	0	0
54461	53.2	51.61	71.89	80.94	83.6	68.07	81.81	69.79	53.45	61.23	69.92	123.1	108.8	125.6	124.7	107.5	100.1	90.4	113.6	93.93	124.5
733	0.5224	1.028	1.185	0.7667	0.714	1.507	1.821	0.8794	1.011	0.1719	1.178	2.054	1.101	2.008	1.301	1.242	1.495	1.479	1.161	0.9786	1.696
286256	0.4339	0.2879	0.4198	0.817	0.2909	0.9008	0.4166	0.3427	0.5492	0	0.21	0.5325	0.5382	0.3875	0.6907	0.8099	0.8241	0.4621	0.9051	0.5828	0.9422
101928638	0	0	0	0	0	0	0	0	0	0	0	0	0.1175	0	0	0.07582	0	0.1053	0	0.1608	0
5730	4.812	8.526	7.518	3.508	27.18	15.67	6.335	11.64	7.804	2.999	3.503	18.46	31.25	35.54	12.19	9.853	9.415	15.25	12.25	17.55	21.15
401562	0.1128	0	0.1265	0.1655	0.5963	0.9164	0	0	0.6855	0.09648	0.3099	0.3929	0.6177	0.7414	0.2765	0.249	0.4627	0.3459	0.2125	0.2376	0.3244
286257	120.9	118.5	137.2	136.4	151.2	154.2	158.3	129.2	106.2	91.35	133.1	178.2	181	191.9	197.3	156.1	148	151.2	178.7	141.2	186.3
9022	3.983	1.584	4.293	2.501	7.243	7.367	4.821	4.223	2.227	2.713	2.614	7.119	3.962	3.335	2.022	1.75	2.992	3.112	11.25	3.007	16.95
20	7.45	15.03	15.57	11.47	16.87	16.76	20.93	12.38	10.89	15.36	16.57	35.57	33.21	32.76	34.5	28.24	27.11	28.25	41.24	23.25	28.74
401563	0.9932	0.4328	0.6753	1.514	3.111	1.564	0.5846	1.232	1.15	1.239	0.8344	2.057	3.637	2.02	1.4	1.493	3.242	1.629	2.137	1.059	2.231
2529	8.175	7.036	15.55	8.798	29.04	16.07	15.55	16.56	17.65	9.326	10.53	21.8	32.11	33.09	19.52	10.45	31.14	17.39	19.05	18.29	26.58
56654	17.02	24.66	30.72	27.22	32.69	34.92	21.29	16.33	27.01	22.73	26.55	57.71	58.1	98.1	60.93	28.52	51.68	45.68	69.87	42.79	55.53
954	0.1354	0.1706	0	0	0.3334	0	0	0	0	0	0.1128	0.1144	0.06744	0.06475	0.09662	0.06525	0.08082	0.1813	0.1547	0	0.2361
105376327	0	0	0	0	0	0	0	0	0	0	0	0.09067	0.08018	0	0	0	0	0	0	0	0
89958	0.4041	0.7344	0.7729	1.488	0.5494	0.3534	0.3898	0.4035	0.9222	0.6349	0.971	0.7798	1.706	1.795	0.6889	1.053	2.697	0.374	1.215	3.153	1.271
91373	4.606	2.385	5.14	6.341	6.653	6.673	4.261	3.123	4.004	4.674	2.876	9.504	9.471	9.367	6.848	10.3	7.68	5.811	6.129	7.973	9.283
