GeneID	GSM3591825	GSM3591826	GSM3591827	GSM3591828	GSM3591829	GSM3591830	GSM3591831	GSM3591832	GSM3591833	GSM3591834
105375138	0	0	0	0	0	0	0	0	0.05206	0
100500886	0	0	0	0	0	0	0	0	0	0
100131257	0	0.002322	0	0	0	0	0.002831	0.00662	0	0.006497
56913	9.312	15.06	24.63	17.14	23.85	10.12	13.01	25.82	22.09	22.86
101927354	0.2135	0.3207	3.208	2.848	3.154	0.1985	0.3909	3.474	2.362	5.473
340267	0.0037	0.02001	0.116	0.1249	0.06833	0.02752	0.03252	0.1711	0.08267	0.1773
107986764	0	0	0	0	0	0	0	0	0	0.04078
101927391	0.2695	0.1417	2.642	1.251	1.825	0.2506	0.2961	2.712	1.29	1.586
54468	17.22	23.31	18.12	10.64	14	21.77	27.8	19.72	11.64	12.07
6119	65.33	53.44	15.34	16.52	9.704	68.57	63.29	20.18	16.36	13.59
729852	10.14	8.138	13.8	12.95	12.06	8.223	9.08	13.86	16.15	14.54
105379719	0.2842	0.6405	1.672	2.231	2.1	0.2643	0.7807	6.208	5.989	2.867
100505921	0.4628	0.6674	2.631	1.816	2.393	0.9467	1.068	3.449	2.984	2.334
113263	4.123	4.632	15.85	10.42	28.14	3.558	6.901	17.9	12.67	18.1
105375142	0.08595	0.2324	0.6178	0.6521	0.635	0.1332	0.2518	1.325	0.8963	1.156
3382	0.7669	0.64	0.08352	0.1449	0.1574	0.9111	0.4993	0	0.2448	0.2149
