GeneID	GSM2090431	GSM2090432	GSM2090433	GSM2090434	GSM2090435	GSM2090436	GSM2090437	GSM2090438	GSM2090439	GSM2090440	GSM2090441	GSM2090442	GSM2090443	GSM2090444	GSM2090445	GSM2090446	GSM2090447	GSM2090448
84262	17.89	17.36	11.22	15.17	11.84	8.11	20.32	21.59	10.74	17.99	16.91	13.24	21.34	23.44	25.14	24.9	19.73	22.6
114796	1.8	1.667	1.482	1.918	1.17	1.204	2.471	2.807	2.528	2.105	2.034	1.577	2.584	4.606	4.931	3.607	2.729	3.852
105375122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1129	0	0	0
260341	0	0	0.08785	0.08575	0	0.1728	0	0	0	0.1063	0.09905	0	0.1137	0	0	0	0	0
107986757	0	0	0	0	0	0	0.3659	0	0	0	0	0	0	0	0	0	0	0
392617	0.08747	0.05851	0.02035	0.05959	0.2173	0.1601	0.02082	0.03941	0	0	0	0.02076	0.02633	0.02064	0	0.0245	0.1326	0.04506
401296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101927125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8379	18.12	23.21	16.18	18.52	18.09	13.63	21.56	27.84	17.32	16.13	20.54	16.39	20.19	22.55	22.32	30.14	27.39	25.71
105375128	0	0.7378	0.2566	0.2505	0.8222	0.2524	0	0.497	0	0	0.2894	0.2618	0	0	0	1.236	0.3345	0.2841
100127955	0	0.0443	0.02311	0.09024	0.04936	0	0.02364	0.02238	0	0	0.05212	0.02358	0	0.02344	0.02924	0.08349	0.1205	0.05118
100616160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109623488	0	0	1.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375127	0	0	0	0	0	0	0	0.06884	0	0	0.04008	0	0	0	0.04498	0.0428	0	0.03936
105375126	0	0	0.0431	0.04207	0.04603	0.0424	0.04409	0.1252	0.08786	0	0.1458	0.04397	0.1116	0.04371	0.05454	0.0519	0	0
29960	26.31	27.13	20.74	29.09	26.93	18.83	36.34	33.4	23.01	26.63	29.85	28.18	32.04	35.8	33.35	33.95	29.43	38.7
4521	44.84	43.59	37.93	41.94	34.34	24.78	51.54	54.52	40.32	37.3	45.28	35.83	56.76	67.92	59.43	62.63	59.1	70.87
29886	12.56	20.13	13.35	15.11	13.41	11.84	14.41	21.45	14.22	16.92	14.43	16.75	8.101	10.76	10.25	20.02	17.59	10.44
102465503	0	0	0	0	0	0	0	0	0	3.752	0	0	0	0	0	0	0	0
8662	87.14	103.5	91.57	93.63	104.2	89.92	104.4	121.9	105.9	93.22	114.2	113	78.55	104.1	100.4	99.49	90.86	98.41
55501	13.04	12.96	11.73	16.91	8.81	8.599	14.07	17.25	13.62	15.73	13.7	13.08	5.679	9.34	9.847	6.108	5.736	6.851
402635	0	0	0.1775	0.1733	0	0	0.09081	0	0	0.2149	0	0	0	0	0	0.1069	0	0
107986758	0	0	0	0	0	0	0	0	0	0	0	0.3406	0	0	0	0	0	0
107986759	0.2008	0	0	0	0	0	0	0	0	0	0	0	0.3023	0.2369	0.5911	0.2813	0	0.7759
3955	4.683	6.786	4.357	15.18	7.497	5.477	7.429	8.848	2.837	6.226	5.322	3.766	14.64	12.77	17.54	20.62	27.29	15.68
100616116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221927	13	16.25	11.4	16.4	12.12	10.92	14.37	20.16	11.05	11.83	14.01	14.49	17.26	18.17	25.38	25.5	17.98	23.84
23288	5.342	6.217	2.784	13.68	10.64	3.814	7.145	8.038	3.547	5.355	10.12	4.159	12	20.47	18.46	17	11.44	19.35
107986760	0.2556	0.2849	0.2972	0.5803	0.4762	0.2924	0.152	0.4317	0.303	0.1799	0.6703	0.3033	0.577	1.507	0.7522	1.074	0.9686	1.152
80727	19.68	18.96	13.41	69.79	30.39	13.35	48.17	44.98	10.31	22.6	36.94	18.52	37.14	35.97	44.32	55.56	55.31	65.45
155185	0.1858	0.03765	0.01964	0.03835	0	0	0.1407	0.05706	0.08009	0.02378	0.02215	0.02004	0.1271	0.1992	0.2237	0.4022	0.2304	0.348
2768	65.56	51.39	44.06	73.19	57.97	34.76	74.2	63.09	42.79	39.72	50.3	38.58	82.43	60.86	98.29	78.59	76.36	92.39
84433	201.6	137	132.8	94.39	63.02	85.54	171.3	191.6	183.1	168.4	128.6	150.6	209.7	292.4	268.3	236.4	179.9	248
101927256	2.133	0.6793	1.418	0	0.3785	1.395	0.7251	1.03	1.445	0.429	0.7993	2.17	1.835	1.797	3.139	1.28	0.9239	1.962
107986761	5.396	3.144	1.854	3.899	3.809	2.105	7.296	5.249	3.199	4.835	6.273	3.639	7.384	5.642	9.747	5.497	7.623	6.949
105375130	0	0	0	0	0	0	0	0	0	0	0	0.07652	0.3882	0	0	0.09031	0	0
100129603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375132	0	0	0	0	0.04887	0	0	0	0	0	0	0	0	0	0	0	0	0
221935	0.1215	0.3522	0.8481	0.08279	0.166	0.1529	0.08676	0.04106	0.6771	0.2395	0.1116	0.2884	0.03658	0.1147	0.4471	0.1532	0.479	0.0626
105375131	0.05663	0	0	0	0	0	0	0	0	0	0.07427	0	0	0	0	0.07931	0	0
105375133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221937	3.045	2.759	2.268	3.559	3.354	2.471	3.052	2.23	2.383	1.52	2.97	2.367	7.902	7.325	8.454	7.185	8.027	7.842
9907	20.84	29.22	22.98	30.34	24.16	23.29	28.21	37.87	30.75	27.81	32	31.5	14.25	17.25	21.39	18.46	14.54	19.5
100616465	0	0	0	0	0	0	0	0	2.654	0	5.872	0	0	0	0	0	0	0
