GeneID	GSM6855732	GSM6855733	GSM6855734	GSM6855735	GSM6855736	GSM6855737	GSM6855738	GSM6855739	GSM6855740
80352	0.491	0.2499	0.6038	0.4245	0.5069	0.8506	0.5404	0.5439	0.6953
11074	0	0.06159	0.05953	0	0	0	0.06661	0	0
104533120	0	0	0	0	0.5228	0.2333	0.2488	0.5195	0
135644	0	0	0	0	0	0	0	0	0
10107	0	0	0	0	0	0	0	0	0
89870	0	0	0	0	0	0	0	0	0
7726	11.41	11.35	12.18	12.4	12.29	12.13	12.05	11.93	10.46
414778	0.7304	0.3452	0.6672	0.4104	0.3921	0.35	0.1866	0.3896	0.1817
3139	1.677	1.421	1.479	0.91	1.335	1.275	0.3547	0.4628	0.4604
414777	4.298	3.863	3.556	3.75	4.018	3.701	2.934	2.469	3.006
56658	3.422	3.113	3.184	3.666	2.094	2.972	3.17	2.729	2.546
202658	4.095	4.998	4.675	4.314	3.388	3.924	3.575	3.458	3.48
79897	4.71	5.935	5.737	6.049	3.371	5.158	4.126	4.067	4.017
105375012	0	0	0	0	0	0	0	0	0
3133	368.1	372.6	421.6	389.7	329.6	377	273.2	242.3	244.2
111082993	1.431	0.5203	0.1006	0	0.3546	0.4221	0.1125	0.2349	0
2794	10.24	10.59	12.55	13.98	11.57	12.83	11.31	10.85	10.95
80742	3.959	3.222	3.064	4.696	5.136	5.901	4.046	5.455	3.939
107986587	1.477	0.9306	0.6746	1.937	0.7928	1.179	1.006	3.414	0.7348
23	46.83	50.16	50.13	44.12	47.54	48.83	40.28	41.5	36.05
100126314	0	0	2.84	1.747	0	1.489	1.589	0	3.093
5514	32.5	33.67	31.97	36.16	37.05	35.03	43.45	43.23	40.62
28973	14.35	12.64	11.64	13.46	17.42	12.22	14.81	13.9	15.39
79969	3.089	2.818	2.984	3.032	3.354	3.232	2.25	2.197	2.967
221545	7.813	7.652	8.889	8.94	6.939	8.099	8.638	6.44	7.703
8449	17.56	15.51	20.19	19.37	15.95	19.23	17.12	17.87	17.92
170954	78.81	74.15	92.6	86.13	65.06	86.31	106.5	91.03	94.22
11270	3.868	3.711	3.265	5.466	3.775	5.054	3.234	3.751	2.624
9656	6.865	6.473	5.972	7.237	7.019	8.071	3.986	3.706	3.913
106478956	6.339	5.991	7.28	10.58	5.056	10.41	4.073	4.637	5.767
203068	467.6	474.3	415.8	361.6	360.5	362.6	403.8	413.4	401.9
10211	50.32	42.77	61.7	56.69	48.18	56.32	65.89	54.91	60.26
105379695	554.9	601.9	555.4	430	367.8	385.2	243.2	204	223.4
8870	1509	1621	1436	1161	1226	1178	566.7	574.8	470.1
105375013	1.112	0.6306	1.016	0.8748	0.3582	1.279	0.341	0.3559	0.5533
401247	0.9771	0.1231	0.6546	0.5124	0.7693	0.3121	0.1997	0.4169	0.1944
105375014	0	0	0.1534	0	0	0	0	0	0
780	24.72	25.58	34.4	22.16	16.7	23.79	15.13	13.11	12.07
100616237	0	0	0	0	0	0	0	0	0
2968	16.86	19.19	19.47	18.08	19.87	20.73	12.53	11.33	11.19
57176	7.158	6.257	8.435	7.803	8.222	8.642	5.596	5.765	5.377
389376	0	0	0	0	0	0	0	0	0
135656	0	0	0	0.02827	0	0	0	0	0
102723346	0	0	0	0.1755	0	0	0	0	0
394263	0	0	0	0	0	0	0	0	0
100507679	0	0	0	0	0	0	0	0	0
285834	0	0	0	0	0	0	0	0	0
29113	0	0	0	0	0	0	0	0	0
170679	0	0	0	0	0	0	0	0	0
1041	0	0	0	0	0	0	0	0	0
170680	0	0	0	0	0	0	0	0	0
54535	3.842	3.559	3.159	5.225	3.424	4.823	2.71	1.476	1.797
6941	2.968	3.077	3.803	5.883	5.708	6.754	5.055	5.584	4.019
5460	0.1939	0.1833	0.04429	0.1635	0.2082	0.1394	0.446	0.1034	0.09648
100130889	0	0	0	0.2195	0	0	0	0	0.09715
253018	0.6217	0.3672	0.4969	0.4367	0.3337	0.8192	0.7149	0.4145	0.6186
3107	264.8	260.6	342.1	354.7	287.3	347.4	346.2	317.2	303.4
105375015	0	0	0	0	0	0	0	0	0
112267902	0	0	0	0	0	0	0	0	0
3106	871.4	844.7	1147	1101	917.1	1101	1195	1038	1064
102465537	10.06	6.792	10.5	17.77	9.258	15.15	13.22	7.666	12.87
101929072	1.042	1.829	1.496	1.422	1.358	1.07	1.369	0.7939	1.037
100507436	4.817	5.165	8.377	7.6	7.26	8.611	6.627	6.522	8.848
101929111	0	0	0	0	0	0	0	0	0
10866	0	0.04976	0	0.1183	0	0	0.05381	0	0.05238
352961	0	0	0	0	0	0	0	0	0
102725068	0.2698	0.5099	0.8009	0.6063	0.6516	0.8402	0.3446	0.5036	0.4697
4277	15.9	16.92	16.11	15.13	11	15.39	17.33	16.85	18.39
401250	0	0	0	0	0	0.1804	0	0.2008	0
100532737	74.81	72.84	68.71	87.07	90.09	84.25	58.14	59.82	57.36
7919	102.1	99.2	93.49	118.4	123.1	115.1	79.56	81.52	78.49
692233	3.518	6.649	4.82	25.7	7.553	13.48	0	0	3.5
692199	23.99	35.63	32.87	59.7	49.67	52.55	24.52	20.11	40.92
106478957	1.268	2.157	2.085	2.565	0.2723	0.9722	0.5185	1.623	1.262
534	0.9928	1.109	0.9069	1.724	0.6783	0.5189	0.09225	0.5777	0.5388
4795	34.48	36.2	46.39	41.23	28.72	43.54	31.51	32.7	28.31
100287329	2.415	1.29	2.014	2.242	2.593	2.314	0.6439	0.4481	0.3134
4049	3.869	4.339	5.797	4.522	4.874	5.142	1.476	1.376	1.078
7124	1840	1931	1889	1181	1123	1182	494.6	452.7	451.3
4050	9.569	11.16	22.26	20.16	14.45	19.63	9.169	5.742	7.587
7940	403.3	388.1	402.6	395.4	334.9	378.9	226.4	192.3	230.8
259197	0.8534	1.411	1.169	2.038	2.405	1.431	1.417	1.138	1.38
199	31.53	34	31.76	33.92	28.79	36.28	26.44	27.02	30.3
7916	216.5	204.5	276.5	291.4	224.7	285.2	204.4	188.4	180.5
677820	0	0.957	2.775	2.276	2.174	0	3.105	2.161	1.008
102466745	0	1.755	3.392	4.173	1.993	0	0	3.961	3.695
7917	202.7	205.2	225.3	213.9	191	214.9	159.8	153.1	147.7
55937	36.19	32.41	46.12	48.05	31.8	40.69	30.87	30.04	33.83
57827	21.55	20.21	25.25	24.4	18.97	28.5	29.46	25.81	25.09
7918	39.55	38.61	47.16	38.14	28.47	38.85	32.46	31.88	28.29
