GeneID	GSM4552489	GSM4552490	GSM4552491	GSM4552492
693224	1.891	2.84	0.6403	0.692
112268253	0.5019	0.811	0.3325	0.1916
4713	77.87	78.82	52.17	63.18
388512	0.01325	0.01492	0.1077	0.08726
84658	0.09842	0.02771	1.649	1.782
106635534	136.5	134.6	329.5	304.4
107985308	0	0	0	0
84449	3.679	3.744	10.97	8.871
30817	6.347	6.156	84.28	76
26664	0	0.02953	0	0.02878
26659	0	0.02637	0.04757	0.02571
390892	0	0	0	0
26333	0	0	0	0
26658	0	0	0	0
6511	0	0	0	0
126402	0	0	0	0
23581	0	0.02161	0	0
126370	0	0	0	0
85360	0.587	0.4477	0.1923	0.3117
10994	30.33	32.93	25.37	25.94
4854	0.04982	0.04809	0.6289	0.6641
102465476	0	0	0.9228	0
79852	0.1195	0.1009	0.3641	0.3607
23476	60.97	60.34	65.49	63.25
10270	65.17	64.46	98.14	88.79
26993	74.45	72.62	84.48	77.06
58525	23.3	23.46	23.72	22.46
100302127	0	0	0	0
64926	8.423	8.442	24.37	23.84
114770	0	0	0.0455	0.02459
126410	0.02114	0.04762	0	0
11283	0	0	0	0
4051	0.02069	0	0.01051	0.01135
66002	0	0	0	0
26538	0	0	0	0
26532	0	0	0	0
388514	0	0	0	0
284433	0	0	0	0
26539	0	0	0	0
105372290	0	0.1826	0	0.178
652995	0.0267	0.03007	0.05423	0
102724279	0	0	0	0
105369202	0.07037	0	0	0
8529	0	0	0	0
57834	0	0	0	0
126541	0	0	0	0
105372291	0	0	0	0
126536	0	0	0	0
148231	0	0	0	0
105372292	0	0	0	0
7171	101.6	102.5	283.2	314.2
4218	75.55	76.48	72.38	80.49
84941	3.459	3.569	0.314	0.403
117286	3.128	3.229	0.2648	0.09538
26017	128.8	140.1	88.53	101.1
8907	22.15	22.35	16.39	17.79
10365	16.26	15.52	4.339	3.848
58513	14.73	15.24	14.44	15.09
125972	0.1435	0.05385	0.09714	0.2099
84167	17.08	17.29	12.85	11.49
10523	84.18	83.19	52.62	47.86
79939	36.24	37.97	53.2	55.65
105372295	2.129	2.217	2.162	2.979
9441	16.92	15.65	12.89	13.67
105372296	1.256	1.237	0.6907	0.6316
79086	39.62	42.38	38.63	40.49
79041	2.254	2.591	1.455	1.186
284434	0.0346	0.03117	0.0773	0.08354
23309	14.73	14.11	29.7	26.15
9002	3.595	3.86	3.877	5.044
27151	0.3991	0.3412	1.846	1.46
93323	34.55	34.14	10.13	9.557
4650	52.72	52.35	200	187.7
109623483	0.4716	0.5311	1.916	0.5177
55850	49.76	47.52	33.5	29.8
79629	18.78	22.06	19.62	20.97
2063	60.52	61.55	45.84	43.23
83878	0.08552	0.01926	0	0.09387
29086	106.4	110	101.4	102.9
126549	21.63	21.77	4.131	3.503
79575	27.56	31.48	38.53	42.41
64981	79.53	77.92	67.46	72.75
79016	26.49	26.7	29.13	31.53
57719	5.57	4.91	30.62	25.54
84705	22.77	22.61	15.8	13.89
83483	0.02698	0.06076	3.179	3.376
105372298	0	0	0	0
110806280	0.6523	0.9969	4.022	1.841
684	178.1	186.5	224.3	256.7
105221694	6.489	7.041	16.91	15.9
93343	35.03	36.43	45.78	50.06
100130519	0.477	0.8215	0.7694	0.7083
115861	0	0.07579	0.06835	0
376497	10.77	10.74	32.23	28.86
100507551	18.89	20.29	20.73	19.6
25796	110.3	115.3	82.12	88.19
199786	3.084	3.019	3.907	4.304
79709	219.3	220.5	290.9	285.6
23025	0.04332	0.04181	1.553	1.637
55201	26.12	26.25	176.1	192.2
23149	13.3	12.21	22.68	23.89
10331	0	0	0.1142	0.1727
3640	0	0	0	0
3718	0.08977	0.1314	0.1641	0.1281
6142	1453	1610	872.6	1052
26780	3.252	3.139	8.492	4.079
