GeneID	GSM7113703	GSM7113704	GSM7113705	GSM7113706	GSM7113707	GSM7113709	GSM7113710	GSM7113711	GSM7113713	GSM7113714	GSM7113716	GSM7113717	GSM7113718
11068	24.05	21.63	21.86	23.48	21.01	18.44	22.47	23.8	21.73	21.47	20.53	30.35	26.71
11070	30.03	31.43	31.05	33.17	45.38	30.45	34.9	42.24	30.47	31.14	37.46	22.38	33.57
9254	0.01921	0	0.01806	0.0811	0.052	0	0.05113	0	0.05765	0.07449	0.03398	0.2128	0.3065
105377082	0	0	0	0	0	0	0	0	0	0	0	0	0
105377083	0	0	0	0	0	0	0	0	0	0	0	0	0
51161	8.509	7.776	11.56	7.228	9.698	4.123	3.926	3.733	5.271	5.848	5.709	1.194	1.765
51409	1.925	2.14	2.681	2.477	2.596	1.123	1.444	1.169	1.54	1.688	1.741	2.948	2.829
1154	38.72	41.77	45.23	48.12	51.08	7.273	18.9	8.302	7.596	4.135	7.052	6.723	10.4
7867	246.7	250.2	246.5	221.3	267.4	116.4	124.1	130.8	181.2	185.7	214.6	208.2	143.9
107986085	0.2403	0.5391	0.3388	0.6088	0.4066	0.3505	0.7462	0.262	1.142	0.9901	0.744	10.16	4.122
1795	2.702	3.256	3.025	4.647	3.964	0.8322	1.883	0.7326	3.85	3.655	3.172	0.02849	0.05643
100616138	0	0	0	0	0	0	0	0	0	0	0	0	0
7873	88.81	75.53	55.8	82.67	54.02	43.17	81.44	47.46	114.4	102.8	108.6	54	134.7
29890	17.19	17.84	16.09	19.64	20.78	10.33	14.02	16.1	18.94	16.21	17.26	23.33	30.83
9730	12.17	12.45	12.79	14.61	10.22	12.25	17.76	11.48	14.26	12.44	10.59	13.53	19.25
105377085	0	0	0	0	0	0	0	0	0	0	0	0	0
23132	6.015	5.185	5.263	7.205	4.307	4.46	8.428	4.927	6.479	5.765	4.754	9.486	18.76
105377086	0	0	0	0.04999	0.08014	0	0.05252	0	0	0	0	0.1192	0.09445
51368	64.8	55.45	56.64	63.34	55.66	41.66	34.83	44.78	53.05	55.99	65.6	39.53	44.44
2912	0	0	0	0	0.0225	0	0	0	0.01663	0	0.0147	0.2008	0.1856
105377087	0	0	0	0	0	0	0	0	0	0	0	0	0
440956	0	0	0	0	0	0	0	0	0	0	0	0	0
100506840	0	0	0	0	0	0	0	0	0	0	0	0	0
401067	0	0	0	0	0	0	0	0	0	0	0	0	0.2785
389123	0	0	0	0	0	0	0	0	0	0	0	0	0
101928999	0	0	0	0	0	0	0	0	0	0	0	0	0
389124	0	0	0	0	0	0	0	0	0	0	0	0	0
132141	0	0	0	0	0	0	0	0	0	0	0	0	0
9136	11.91	9.433	9.883	14.22	14.43	8.435	18.26	12.82	8.312	8.695	8.78	14.51	40
10039	3.13	6.097	4.258	4.59	5.63	8.768	9.317	8.979	6.963	4.311	4.262	5.847	10.25
118442	0	0	0	0	0.07242	0	0	0	0	0	0	0.05387	0.2561
